Usual Hours Worked,Education (yrs),Yearly Earnings,Race,Sex,Usual Weekly Earnings,State,Month in Sample
40,16,50000,White,Female,962,Ohio,4
60,18,85000,White,Female,2045,Ohio,8
50,18,0,White,Male,.,Ohio,8
50,14,112800,White,Male,1015,Ohio,8
42,18,65000,White,Male,.,Ohio,1
60,16,35000,White,Female,.,Ohio,1
45,12,18000,White,Female,.,Ohio,1
40,13,37000,White,Male,.,Ohio,1
40,16,34000,White,Male,.,Ohio,1
40,16,20000,White,Female,.,Ohio,1
65,12,0,White,Male,.,Ohio,5
40,16,38000,Black,Female,.,Ohio,3
70,18,41000,White,Male,.,Ohio,7
45,12,17000,White,Female,.,Ohio,3
40,13,75000,White,Male,.,Ohio,6
97,12,60000,White,Male,600,Ohio,8
40,12,24000,White,Female,400,Ohio,8
40,12,35000,White,Male,.,Ohio,1
40,12,15000,Black,Male,.,Ohio,7
40,13,0,White,Female,.,Ohio,7
40,12,21000,White,Male,.,Ohio,7
35,14,13339,White,Female,.,Ohio,2
38,16,57782,White,Female,.,Ohio,7
60,18,12000,White,Male,.,Ohio,7
65,16,5000,White,Female,.,Ohio,7
50,18,85000,White,Female,.,Ohio,6
0,16,30870,White,Male,.,Ohio,2
36,13,50000,White,Female,.,Ohio,1
40,16,50000,White,Male,.,Ohio,1
40,16,37000,White,Male,.,Ohio,1
50,14,390510,White,Female,.,Ohio,1
50,16,39000,White,Male,.,Ohio,5
60,16,30000,White,Male,.,Ohio,5
38,12,10000,Black,Female,.,Ohio,3
38,12,18000,Black,Male,.,Ohio,3
40,11.5,30000,White,Male,.,Ohio,6
55,13,24000,White,Male,.,Ohio,2
52,18,40000,White,Female,.,Ohio,1
40,18,70000,White,Female,.,Ohio,1
60,12,60000,White,Male,.,Ohio,1
45,16,20000,White,Male,780,Ohio,8
36,13,12500,White,Female,288,Ohio,8
40,13,42000,White,Male,.,Ohio,6
60,12,60000,White,Male,.,Ohio,6
40,12,48048,White,Male,654,Ohio,4
40,10,40000,White,Female,.,Ohio,7
40,18,38000,White,Male,.,Ohio,5
50,13,65406,White,Male,.,Ohio,5
50,14,44000,White,Male,.,Ohio,2
40,12,23000,White,Male,.,Ohio,2
40,12,22000,White,Male,.,Ohio,5
40,13,35000,White,Female,.,Ohio,6
40,13,45000,White,Male,.,Ohio,6
40,13,30000,White,Male,.,Ohio,7
40,12,29000,White,Female,.,Ohio,6
40,16,25000,Black,Male,.,Ohio,1
40,13,35700,White,Male,.,Ohio,1
40,12,24000,White,Female,.,Ohio,1
0,12,36500,White,Male,.,Ohio,1
40,12,28000,White,Male,.,Ohio,5
60,13,30000,White,Female,.,Ohio,5
40,18,42526,White,Male,.,Ohio,7
40,12,18200,White,Male,.,Ohio,7
40,13,42000,Black,Male,.,Ohio,7
40,13,33000,White,Male,.,Ohio,7
40,16,32000,White,Female,615,Ohio,4
40,12,11267,White,Female,290,Ohio,4
75,12,51300,White,Male,600,Ohio,4
80,18,52500,Black,Male,.,Ohio,2
40,18,27500,White,Female,.,Ohio,2
40,16,40000,White,Male,.,Ohio,2
0,16,15000,White,Female,.,Ohio,3
48,14,35200,White,Male,.,Ohio,3
50,12,27500,White,Male,519,Ohio,8
